Как называется специальная обувь для игры в футбол?;Бутсы;Красовки
Как называется в футболе введение мяча в игру после того                                             ,как он вышел за короткую линию поля от игрока нападающей команды?;Удар от ворот;Удар в ворота
Включен ли футбол в программу Олимпийский игр?;Да;Нет
Кто был капитаном футбольной сборной                                                                 ,ставшей чемпионом Олимпийских игр  1956 года?;И.Нетто;В.Онопко
Сколько игроков можно заменить в футбольном матче?;3;4
Как в США называется европейский футбол?;Соккер;Нога мяч
Что показывает судья футболисту                                                                      ,делая ему предупреждение?;Желтую карточку;Оранживаю карточку
Что показывает судья футболисту                                                                      ,удаляя его с поля?;Красную карточку;Оранживаю карточку
Как называется футбольный полузащитник?;Хавбек;Форвард
Как называется короткая сторона футбольного поля?;Лицевая линия;Горизонтальна линия
Как называется длинная сторона футбольного поля?;Боковая линия;Вертикальная линия
Как называется удар по мячу из угла поля в футболе?;Угловой;Ввод мяча
Как часто проходят финальные соревнования чемпионата мира по футболу?;Раз в четыре года;Как повезет
Проходят ли судьи международной категории по футболу испытания по физической подготовленности?;Да;Нет
Как называется 11-метровый удар                                                                      ,назначающийся за нарушение в футболе?;Пенальти;11-метровый удар
Как называется игра в футбол на мотоциклах?;Мотобол;Скутербол
Каково минимальное число игроков                                                                     ,при котором футбольная команда может продолжать играть в официальных соревнованиях?;8;10
Отличаются ли по размерам поля для игры в футбол и для игры в хоккей с мячом?;Нет;Да
Как называется игрок команды в спортивных играх                                                      ,основной задачей которого является оборона подступов к своим воротам?;Защитник;Атакующий
Имеет ли право футбольный вратарь пробивать 11-метровый штрафной удар?;Да;Нет
Может ли в футболе полевой игрок заменить вратаря своей команды?;Да;Нет
Что обязательно должен сделать полевой игрок                                                         ,заменивший вратаря в футбольном матче?;Надеть вратарский свитер;Снять вратарский свитер
Засчитывается ли в футболе мяч                                                                       ,забитый игроком в свои ворота?;Да;Нет
Как еще называется вратарь в футболе?;Голкипер;Вороткипер
Как называется центральный защитник в футболе?;Стоппер;Воппер
Как называется выход мяча за боковую линию поля в футболе?;Аут;Забоковой мяч
